objectid,elect_div,area_sqkm,sortname,globalid,e_div_numb,numccds,actual,projected,total_popu,australian,Shape__Area,Shape__Length
83,Adelaide,86.4,Adelaide,9e33df9f-10af-48eb-a231-95def04135d0,1,422,0,0,0,0,128844368.78125,56507.0196340476
84,Barker,65204.13,Barker,e0edca5e-4f23-45d2-97af-90b5550c703d,2,465,0,0,0,0,98693297640.8438,1999936.24552814
85,Boothby,115.6,Boothby,3c517ffa-5154-4843-bc97-0734c68ee002,3,404,0,0,0,0,172675903.648438,79814.9226929499
86,Grey,908651.63,Grey,342fcfa5-9b18-4f1f-9876-a9dae4c96edd,4,519,0,0,0,0,1209124149773.95,8316451.69314418
87,Hindmarsh,122.45,Hindmarsh,3358374a-dcdd-4d60-8963-17ecd727ee88,5,394,0,0,0,0,182322818.109375,125149.789336864
88,Kingston,165.66,Kingston,917e63ab-a4da-4f36-a504-bcdd843732d3,6,400,0,0,0,0,247942331.960938,107378.531175789
89,Makin,162.62,Makin,e8aacba6-1ba4-41ae-ba9b-79ccc945ea7d,7,410,0,0,0,0,241711194.574219,92737.6194621364
90,Mayo,9134.78,Mayo,c8753287-8cee-44ee-9525-cdf52b885a2e,8,421,0,0,0,0,13826861238.4336,1248271.30551031
91,Spence,534.1,Spence,4c38bf2d-c855-44b5-ae46-47bc403e8002,9,422,0,0,0,0,791591957.175781,200392.039005511
92,Sturt,97.79,Sturt,bcae0731-83e2-48f2-80f9-4f88db921e90,10,410,0,0,0,0,145531096.464844,81782.0010713643
93,Bass,7978.52,Bass,a932be48-2d0f-47a1-8ac6-a57d71d0a638,1,300,0,0,0,0,13984128997.4219,2384033.5374531
94,Braddon,21368.37,Braddon,9590e7af-89e9-4fdf-83c8-d11c890b9bc1,2,319,0,0,0,0,38299695963.4531,3982897.07563347
95,Clark,292.3,Clark,c4f12106-e903-4425-b0ed-ffbb849d2ef5,3,276,0,0,0,0,544739187.523438,160579.011354347
96,Franklin,6405.09,Franklin,6436c910-d25b-45d6-aba8-59c540ede933,4,272,0,0,0,0,12072749030.4375,2571860.15740179
